num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,execution_time,power_mW
306,16,7,65,4,7,25,0,10967.5
344,25,10,113,16,21,73,0,5384.5
321,15,8,77,6,5,63,0,3791.0
329,25,13,78,6,13,69,0,10486.0
333,29,16,91,12,13,51,0,5187.0
325,17,7,89,6,13,27,0,6793.0
293,12,7,55,2,11,23,0,6316.333333333333
305,14,9,66,6,13,63,0,7145.5
329,22,10,86,6,17,51,0,10699.0
344,29,17,113,18,19,63,0,4196.5
333,29,11,92,16,11,79,0,6356.0
306,10,3,67,2,9,35,0,6034.5
334,24,11,89,4,19,37,0,3171.0
333,15,7,99,6,17,39,0,3156.5
302,19,9,56,4,7,37,0,5886.0
301,20,10,59,2,17,17,0,5299.0
306,12,4,70,6,15,63,0,1831.5
330,30,11,101,20,13,47,0,5007.5
326,34,18,82,18,3,63,0,6000.0
327,31,13,88,18,9,69,0,2490.5
329,19,11,79,4,5,55,0,2697.5
324,34,17,77,14,5,47,0,6435.5
298,10,3,64,2,17,29,0,6299.5
320,15,8,89,8,17,41,0,5863.5
319,14,3,72,4,3,61,0,3796.5
309,31,18,70,16,5,37,0,10165.25
314,22,12,88,16,15,43,0,85.0
287,17,8,62,14,11,35,0,3735.5
293,12,4,58,6,11,45,0,8840.0
347,33,16,107,12,17,27,0,7503.0
315,18,8,72,6,13,63,0,2612.0
331,26,10,105,18,19,51,0,5374.5
333,38,18,97,18,19,39,0,5887.0
322,22,12,89,12,21,63,0,11880.0
305,22,12,81,16,17,37,0,5161.5
311,7,3,72,2,13,65,0,5824.0
319,22,11,72,6,9,51,0,5289.0
318,24,14,82,16,7,67,0,7159.333333333333
305,24,10,68,14,7,53,0,4556.5
321,29,11,100,20,21,29,0,2161.5
347,32,13,109,16,17,61,0,6798.75
299,18,8,78,14,19,29,0,1550.0
321,25,11,72,6,5,33,0,4891.5
310,14,7,76,8,5,29,0,4413.75
305,11,4,69,4,11,37,0,11745.0
322,36,15,86,20,11,47,0,5776.0
296,18,9,59,8,11,41,0,220.0
324,33,14,87,20,11,71,0,5573.0
304,21,8,74,14,17,59,0,5842.0
314,23,15,75,12,5,45,0,4825.5
337,17,9,93,2,17,47,0,4864.25
321,17,5,78,4,19,67,0,5977.0
302,18,5,63,4,15,25,0,5381.666666666667
316,14,4,75,2,7,17,0,4946.0
287,12,3,52,4,11,25,0,2059.5
325,17,6,98,10,21,37,0,7693.0
335,37,17,103,20,21,47,0,8228.0
318,22,11,77,6,13,27,0,493.0
331,29,14,96,12,19,27,0,4433.5
330,26,13,85,12,9,75,0,6003.5
300,25,13,65,16,5,49,0,6619.0
334,33,16,104,18,19,33,0,2176.5
301,18,8,67,8,15,35,0,3660.75
336,27,13,92,8,19,53,0,274.0
334,32,11,100,20,17,77,0,5902.0
310,31,15,73,14,11,23,0,5985.5
337,35,19,102,18,21,57,0,3849.5
311,21,10,77,12,15,57,0,2570.5
313,28,13,65,8,9,41,0,10217.0
334,31,13,90,14,3,41,0,5825.0
320,28,16,73,12,3,57,0,3571.5
334,28,12,87,10,7,49,0,1690.5
296,15,6,65,10,5,25,0,11724.0
335,21,6,94,10,11,67,0,4659.0
322,20,7,81,4,17,31,0,5552.0
329,26,13,102,16,21,43,0,5845.5
302,27,15,61,12,3,27,0,7547.0
281,9,6,42,2,3,23,0,4573.5
310,23,11,78,10,19,25,0,5892.5
305,16,7,60,2,13,47,0,6104.0
310,22,14,80,12,13,21,0,8011.0
315,22,10,72,4,15,25,0,3454.5
315,24,9,77,10,15,43,0,4177.5
298,15,11,56,4,7,37,0,6007.0
309,23,9,71,12,7,45,0,8882.5
308,18,12,71,6,9,15,0,4791.0
319,31,11,90,20,19,59,0,2103.5
305,30,14,60,12,3,33,0,4766.0
337,24,12,85,4,9,49,0,7600.5
335,21,11,94,6,17,45,0,5354.0
311,26,13,88,18,21,39,0,6067.5
279,10,3,41,2,5,17,0,3123.0
320,33,14,81,16,9,37,0,12456.0
335,30,11,111,20,17,29,0,5752.5
295,12,3,55,4,3,31,0,5195.0
319,18,11,80,8,15,65,0,2672.5
332,31,17,98,20,11,65,0,7625.5
304,16,8,64,10,3,67,0,5592.0
301,31,13,67,16,11,25,0,4686.0
323,24,11,76,6,19,69,0,3435.0
330,19,7,82,4,9,55,0,6962.5
308,17,12,59,4,7,67,0,8654.0
290,16,9,54,6,9,21,0,5634.0
305,14,6,64,4,7,37,0,4716.0
286,24,12,57,16,9,31,0,2088.0
301,24,13,71,12,17,21,0,6742.0
322,31,15,81,10,21,37,0,6012.0
307,19,10,76,12,11,39,0,2292.0
308,23,14,72,10,11,25,0,3795.5
284,13,8,49,4,11,19,0,12887.0
306,16,6,63,6,9,63,0,9845.0
321,9,4,90,4,19,43,0,9611.0
293,24,11,50,6,9,15,0,5765.0
317,21,14,84,10,13,25,0,5029.5
313,26,14,70,8,13,35,0,5860.5
339,25,10,101,12,17,63,0,6202.0
355,27,13,108,6,17,45,0,4544.333333333333
317,29,12,78,16,3,43,0,3960.0
343,35,17,106,20,13,65,0,2664.5
306,9,2,64,2,5,47,0,4272.666666666667
336,25,10,98,12,19,69,0,5986.5
316,28,14,91,18,19,33,0,5319.0
294,10,4,58,4,13,49,0,1675.0
348,34,18,109,20,7,65,0,2924.6666666666665
327,34,14,87,18,5,45,0,2293.0
307,14,8,61,4,7,67,0,5001.5
313,23,10,84,16,9,37,0,7120.5
352,28,13,117,12,21,39,0,4156.25
325,12,5,94,6,21,51,0,5030.0
308,16,6,70,8,9,53,0,3884.25
312,15,7,82,8,19,41,0,3319.0
298,17,11,54,2,7,17,0,1835.5
325,18,8,86,4,19,37,0,5721.5
292,9,3,57,4,5,25,0,5939.0
299,22,7,58,10,3,37,0,1797.5
307,23,11,77,18,11,69,0,1907.5
332,21,11,100,16,11,73,0,5088.0
342,35,19,106,18,13,39,0,4882.0
345,31,15,103,14,17,71,0,6414.0
326,22,13,85,6,19,45,0,5613.0
302,29,13,55,10,3,31,0,2651.5
326,26,12,90,10,19,31,0,2820.3333333333335
322,36,17,83,20,3,41,0,3098.0
318,32,15,77,16,7,49,0,1632.5
310,13,9,70,2,11,29,0,4891.5
349,19,5,111,6,21,51,0,6057.0
329,25,13,98,12,21,33,0,3476.0
294,24,9,55,10,5,19,0,2166.0
308,27,12,76,18,5,39,0,4038.5
329,27,11,90,12,11,39,0,6234.0
327,26,13,96,18,17,75,0,4931.5
285,9,3,54,4,9,13,0,1719.5
344,26,10,97,12,5,75,0,4989.0
316,23,8,82,12,7,21,0,5441.0
319,20,10,86,12,15,57,0,2303.0
323,25,15,87,14,15,65,0,2124.5
303,24,9,57,10,5,61,0,5522.0
293,11,7,56,4,3,19,0,8813.0
298,24,11,74,20,15,59,0,469.0
333,30,18,99,16,13,37,0,3622.5
307,17,12,69,6,7,21,0,5850.5
333,32,14,101,18,11,27,0,4476.5
308,19,10,83,14,17,41,0,2326.5
331,36,17,94,18,11,33,0,5866.5
294,13,5,60,2,17,11,0,6380.5
326,30,10,96,18,13,33,0,5367.333333333333
327,19,12,83,8,9,71,0,4796.5
288,23,11,58,14,9,23,0,2217.0
320,33,15,83,14,17,29,0,5299.0
310,28,15,75,16,5,31,0,5658.0
338,25,11,88,8,9,71,0,3078.5
317,21,10,69,4,5,31,0,5841.5
308,19,9,79,12,13,33,0,7084.333333333333
306,30,17,70,14,11,23,0,5984.0
314,16,7,73,4,9,31,0,5206.25
294,14,10,50,2,5,29,0,5559.0
324,19,10,91,12,19,75,0,978.0
309,27,11,73,16,5,43,0,5363.0
326,37,20,92,20,11,29,0,6723.0
314,32,15,81,20,5,35,0,929.0
319,10,4,87,6,17,57,0,4472.0
332,24,12,87,8,15,65,0,6647.5
308,11,5,79,6,19,39,0,2490.0
312,24,14,66,10,3,55,0,2143.0
296,15,7,59,6,9,33,0,5457.0
313,26,16,87,16,17,25,0,6385.666666666667
316,16,5,87,8,21,35,0,3080.0
316,28,13,84,14,15,23,0,2137.5
302,21,11,57,6,5,33,0,15254.0
290,18,10,51,10,5,55,0,16286.0
316,19,8,74,8,7,53,0,11930.75
344,38,20,108,20,19,59,0,5450.0
309,22,11,76,14,9,47,0,4138.0
327,33,18,86,18,7,63,0,2785.5
307,23,13,68,12,5,45,0,9732.5
334,34,17,96,16,19,55,0,10823.0
300,12,8,65,4,17,43,0,5373.0
312,27,11,76,10,17,19,0,3056.0
318,18,7,80,2,21,17,0,4341.75
310,18,12,68,8,9,65,0,11764.0
319,23,9,70,6,5,45,0,3376.0
303,22,9,75,12,21,33,0,3603.0
327,12,6,98,8,19,53,0,6207.0
305,31,19,68,18,3,39,0,3959.0
311,27,13,78,14,13,29,0,3639.25
309,11,5,73,2,13,23,0,2437.0
335,28,11,93,12,13,57,0,2321.5
305,21,10,60,6,7,39,0,6135.5
307,23,10,70,16,3,67,0,7861.0
304,11,4,76,6,19,33,0,3421.0
312,23,8,76,14,7,53,0,3093.0
318,27,17,86,16,19,61,0,4425.0
322,32,20,91,20,11,41,0,4768.0
299,22,7,58,10,5,43,0,11576.0
297,23,11,64,12,13,33,0,6467.0
314,27,10,84,18,15,57,0,3314.0
298,13,6,54,4,7,61,0,6033.0
288,16,5,54,8,9,29,0,7983.0
322,26,14,81,10,13,43,0,1560.0
312,14,7,73,2,17,35,0,4269.5
334,20,10,87,4,11,49,0,5932.0
344,38,20,105,20,17,71,0,5056.0
305,14,6,63,4,9,49,0,3050.5
335,37,17,86,18,5,81,0,5914.5
333,13,7,92,2,17,53,0,6875.5
310,9,3,76,4,13,43,0,3777.75
329,16,10,88,6,13,63,0,5598.0
321,23,11,78,8,15,59,0,2676.0
298,22,11,72,14,15,23,0,9446.0
307,28,12,75,14,15,23,0,5998.0
336,30,14,94,10,11,19,0,168.0
304,23,12,77,14,15,23,0,3971.0
346,37,20,114,20,21,47,0,3913.0
323,24,9,94,16,17,55,0,5502.0
302,27,14,77,20,9,29,0,6051.0
294,14,4,52,4,13,61,0,4762.0
305,19,8,66,12,3,63,0,2134.0
326,23,8,88,14,9,71,0,6369.0
313,30,17,76,18,11,69,0,7073.0
330,27,13,80,6,13,51,0,2685.5
340,22,12,111,16,21,79,0,5619.5
339,26,12,112,18,21,63,0,6859.0
316,34,18,74,16,9,49,0,4328.333333333333
326,24,10,79,8,3,41,0,4440.0
322,25,14,80,10,11,49,0,1860.5
352,30,15,108,12,19,75,0,6001.0
349,32,17,112,16,13,43,0,11232.25
296,20,8,63,14,7,53,0,13776.0
316,15,6,81,6,9,21,0,9837.0
343,21,6,108,10,21,61,0,4165.0
310,19,7,66,6,5,39,0,5746.5
307,16,8,69,4,19,43,0,6023.666666666667
307,19,9,79,14,13,47,0,5969.5
310,23,10,83,18,11,51,0,2721.5
351,34,19,118,20,21,71,0,3236.5
346,19,7,108,8,19,65,0,5823.0
321,14,4,79,4,7,43,0,5673.0
321,21,11,85,10,11,37,0,3500.75
322,32,11,88,20,15,71,0,3788.0
294,11,5,65,8,7,23,0,2067.0
313,18,9,70,8,3,53,0,6857.0
313,32,18,88,20,19,29,0,12923.0
311,16,8,83,12,17,57,0,10141.0
314,18,11,81,10,21,67,0,2362.5
323,27,17,91,16,19,61,0,4389.5
302,17,12,64,6,5,15,0,4391.0
304,17,5,67,4,19,31,0,5768.5
341,32,13,103,16,21,73,0,4493.75
305,14,9,64,2,9,23,0,5315.0
339,29,14,95,10,7,25,0,5855.0
320,20,8,84,8,21,53,0,2443.5
301,23,9,67,14,5,35,0,5482.5
299,22,6,60,10,3,25,0,5506.0
312,29,10,73,18,3,63,0,8397.5
339,28,13,113,16,21,25,0,12334.0
309,20,12,73,8,11,23,0,5311.0
333,38,18,86,20,5,83,0,4764.0
312,15,5,75,6,15,51,0,1574.0
325,23,10,89,10,17,43,0,10555.5
273,7,3,41,4,3,13,0,8569.0
324,40,19,79,20,9,71,0,3865.75
344,35,15,101,20,7,83,0,4598.0
315,22,12,86,16,17,67,0,13552.0
304,14,7,64,8,7,71,0,6438.5
319,22,8,89,12,19,39,0,5825.0
315,19,10,83,12,7,33,0,3038.5
300,19,6,63,8,13,41,0,7357.5
290,10,2,45,2,3,53,0,5775.5
316,26,12,64,6,5,45,0,5077.5
349,33,19,107,18,11,81,0,1716.5
311,23,11,59,6,3,57,0,4401.5
326,27,11,94,18,11,57,0,8539.0
316,16,6,75,2,17,35,0,3676.5
347,37,20,117,20,19,29,0,2456.5
311,10,7,79,2,19,23,0,5877.0
353,22,11,115,10,21,73,0,11588.0
333,9,6,95,2,19,65,0,4856.0
320,32,13,92,20,15,35,0,4424.0
314,20,5,76,8,9,29,0,5407.5
310,16,11,65,2,11,41,0,9626.0
317,29,14,79,16,9,55,0,1564.0
303,13,2,63,2,9,23,0,3813.5
311,26,12,81,18,3,27,0,5828.5
337,29,11,96,18,3,75,0,5548.5
300,19,9,71,14,7,35,0,4418.5
320,23,12,83,14,5,53,0,2150.5
301,13,5,58,2,7,35,0,3261.0
318,18,13,82,6,17,33,0,5876.0
324,29,14,81,10,11,31,0,5916.0
327,16,11,88,6,15,57,0,2717.5
302,22,10,72,10,21,25,0,3110.5
296,12,2,52,2,7,47,0,5916.5
327,28,11,92,12,17,27,0,8937.5
313,19,11,81,12,7,33,0,4279.666666666667
315,34,17,75,16,9,37,0,3648.3333333333335
334,22,9,81,4,9,67,0,4434.0
308,26,10,81,18,11,33,0,6915.0
336,24,11,102,14,21,77,0,5725.0
336,28,12,91,14,7,77,0,4412.0
317,26,12,80,14,9,47,0,2999.6666666666665
326,28,12,91,12,17,27,0,10991.5
333,19,11,91,4,11,25,0,13161.0
329,28,13,88,10,21,55,0,12676.0
303,13,7,70,6,9,21,0,11145.5
312,20,7,71,4,19,37,0,7581.5
323,31,19,84,18,7,63,0,15131.0
322,25,11,94,18,7,33,0,3691.5
329,30,17,89,14,11,47,0,3603.0
303,12,5,59,2,11,59,0,5550.0
304,17,7,69,4,17,13,0,5241.5
307,25,13,64,12,3,51,0,1863.5
334,16,11,95,4,19,49,0,3527.5
306,17,5,64,8,7,65,0,5956.0
294,11,5,58,8,3,53,0,4428.0
324,18,9,83,8,13,71,0,3932.0
335,29,16,93,14,11,65,0,1625.0
304,24,8,65,10,5,19,0,3992.5
